"Species","Order","Family","Extinct_in_Caribbean","Endemic_to_Caribbean","Acklins","Crooked_Island","Fortune_Island","East_Caicos","Middle_Caicos","North_Caicos","Providenciales","Andros","Cat_Island","Darby","Eleuthera_Island","Great_Exuma","Little_Exuma","Long_Island","New_Providence","Ragged_Island","Great_Inagua","Little_Inagua","Grand_Bahama","Great_Abaco","Little_Abaco","Mayaguana","East_Plana_Cay","San_Salvador","Cayman_Brac","Little_Cayman","Archipielago_de_Samana","Cayo_Ballentino_del_Medio","Cayo_de_la_Piedra","Cayo_Fragoso","Cayo_Largo","Cayo_Maya","Cayos_de_Ana_Maria","Cuba","Isle_of_Pines","Samana_Cay","San_Felipe_Cays","Grand_Cayman","Hispaniola","Ile_de_la_Gonave","Ile_de_la_Tortue","Jamaica","Mona","Navassa","Anegada","Culebra","Guana","Jost_van_Dyke","Puerto_Rico","St_John","St_Thomas","Tortola","Vieques","Virgin_Gorda","St_Croix","Anguilla","St_Barthelemy","St_Eustatius","St_Martin","Tintamarre","Antigua","Barbuda","Barbados","Dominica","Bequia","Carriacou","Grenada","Mustique","Union","Guadeloupe","La_Desirade","Marie_Galante","Martinique","Montserrat","Saba","St_Lucia","St_Vincent","Nevis","St_Kitts","Little_Swan_Island","Providencia","San_Andres"
"Eumops_auripendulus","Chiroptera","Molossidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eumops_glaucinus","Chiroptera","Molossidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",NA,NA,NA,NA,NA,NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eumops_perotis","Chiroptera","Molossidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molossus_molossus","Chiroptera","Molossidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cayman Brac",NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pines",NA,NA,"Grand Cayman","Hispaniola","Ile de la Gonave",NA,"Jamaica",NA,NA,NA,"Culebra","Guana",NA,"Puerto Rico","St. John","St. Thomas","Tortola","Vieques","Virgin Gorda","St. Croix","Anguilla","St. Barthelemy","St. Eustatius","St. Martin",NA,"Antigua","Barbuda","Barbados","Dominica",NA,"Carriacou","Grenada",NA,"Union","Guadeloupe","La Desirade","Marie Galante","Martinique","Montserrat","Saba","St. Lucia","St. Vincent","Nevis","St. Kitts",NA,NA,NA
"Mormopterus_minutus","Chiroptera","Molossidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nyctinomops_laticaudatus","Chiroptera","Molossidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nyctinomops_macrotis","Chiroptera","Molossidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",NA,NA,NA,NA,"Hispaniola",NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peropteryx_macrotis","Chiroptera","Molossidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tadarida_brasiliensis","Chiroptera","Molossidae",0,0,"Acklins","Crooked Island","Fortune Island",NA,"Middle Caicosæ",NA,NA,NA,NA,NA,"Eleuthera Island","Great Exuma","Little Exuma","Long Island","New Providenceæ",NA,NA,NA,NA,"Great Abaco","Little Abaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pines",NA,NA,"Grand Cayman","Hispaniola",NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,"Puerto Rico","St. John",NA,NA,NA,NA,NA,"Anguilla","St. Barthelemy","St. Eustatius","St. Martin",NA,"Antigua","Barbuda",NA,"Dominica",NA,NA,NA,NA,NA,"Guadeloupe","La Desirade","Marie_Galanteæ","Martinique","Montserrat","Saba","St. Lucia","St. Vincent","Nevis","St. Kitts",NA,NA,NA
"Mormoops_blainvillei","Chiroptera","Mormoopidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Little Exumaæ",NA,"New Providenceæ",NA,NA,NA,NA,"Great Abacoæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",NA,NA,NA,NA,"Hispaniola","Ile de la Gonaveæ",NA,"Jamaica","Mona",NA,NA,NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,"Anguillaæ",NA,NA,NA,NA,"Antiguaæ","Barbudaæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marie_Galanteæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mormoops_magna","Chiroptera","Mormoopidae",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cubaæ",NA,NA,NA,NA,"Hispaniolaæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mormoops_megalophylla","Chiroptera","Mormoopidae",1,0,NA,NA,NA,NA,NA,NA,NA,"Androsæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great Abacoæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cubaæ",NA,NA,NA,NA,"Hispaniolaæ",NA,NA,"Jamaicaæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marie_Galanteæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteronotus_davyi","Chiroptera","Mormoopidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dominica",NA,NA,"Grenada",NA,NA,NA,NA,"Marie Galante","Martinique",NA,NA,"St._Lucia",NA,NA,NA,NA,NA,NA
"Pteronotus_macleayii","Chiroptera","Mormoopidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Providenceæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pines",NA,NA,NA,"Hispaniolaæ",NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marie_Galanteæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteronotus_parnelli_parnelliii","Chiroptera","Mormoopidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Providenceæ",NA,NA,NA,NA,"Great Abacoæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pinesæ",NA,NA,"Grand Caymanæ",NA,NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marie_Galanteæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteronotus_parnellii_portoricensis","Chiroptera","Mormoopidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mona",NA,NA,NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antiguaæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteronotus_parnellii_pusillus","Chiroptera","Mormoopidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hispaniola","Ile de la Gonaveæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteronotus_parnellii_rubiginosus","Chiroptera","Mormoopidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"St. Vincent",NA,NA,NA,NA,NA
"Pteronotus_pristinus","Chiroptera","Mormoopidae",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cubaæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteronotus_quadridens","Chiroptera","Mormoopidae",0,1,NA,NA,NA,NA,NA,NA,NA,"Androsæ",NA,NA,NA,NA,NA,NA,"New Providenceæ",NA,NA,NA,NA,"Great Abacoæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba",NA,NA,NA,NA,"Hispaniola",NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marie_Galanteæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pteronotus_sp._nov.","Chiroptera","Mormoopidae",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hispaniolaæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilonatalus_micropus_macer","Chiroptera","Natalidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pines",NA,NA,"Grand Caymanæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilonatalus_micropus_micropus","Chiroptera","Natalidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hispaniola",NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providencia",NA
"Chilonatalus_tumidifrons","Chiroptera","Natalidae",0,1,NA,NA,NA,NA,NA,NA,NA,"Andros","Cat Islandæ",NA,NA,"Great Exumaæ",NA,NA,"New Providenceæ",NA,NA,NA,NA,"Great Abaco",NA,NA,NA,"San Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Natalus_jamaicensis","Chiroptera","Natalidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Natalus_major","Chiroptera","Natalidae",0,1,NA,NA,NA,NA,"Middle Caicosæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hispaniola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marie_Galanteæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Natalus_primus","Chiroptera","Natalidae",1,1,NA,NA,NA,NA,NA,NA,NA,"Androsæ",NA,NA,NA,NA,NA,NA,"New Providenceæ",NA,NA,NA,NA,"Great Abacoæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pinesæ",NA,NA,"Grand Caymanæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Natalus_stramineus","Chiroptera","Natalidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anguilla",NA,NA,"St. Martin",NA,"Antigua","Barbuda",NA,"Dominica",NA,NA,NA,NA,NA,"Guadeloupe",NA,"Marie Galante","Martinique","Montserrat","Saba",NA,NA,"Nevis",NA,NA,NA,NA
"Nyctiellus_lepidus","Chiroptera","Natalidae",0,1,NA,NA,NA,NA,NA,NA,NA,"Androsæ","Cat Island",NA,"Eleuthera Island","Great Exumaæ","Little Exuma","Long Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noctilio_leporinus","Chiroptera","Noctlilionidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great Inagua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pines",NA,NA,NA,"Hispaniola",NA,NA,"Jamaica","Mona",NA,NA,"Culebra",NA,NA,"Puerto Rico","St. John","St. Thomas",NA,"Vieques",NA,"St. Croix",NA,NA,NA,"St. Martin",NA,"Antigua","Barbuda","Barbados","Dominica",NA,"Carriacou","Grenada",NA,NA,"Guadeloupe",NA,"Marie Galante","Martinique","Montserrat",NA,"St. Lucia","St. Vincent","Nevis","St. Kitts",NA,NA,NA
"Anoura_geoffroyi","Chiroptera","Phyllostomidae",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ardops_nichollsi","Chiroptera","Phyllostomidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"St. Eustatius","St. Martin",NA,NA,NA,NA,"Dominica",NA,NA,NA,NA,NA,"Guadeloupe",NA,"Marie Galante","Martinique","Montserrat","Saba","St. Lucia","St. Vincent","Nevis","St. Kitts",NA,NA,NA
"Ariteus_flavescens","Chiroptera","Phyllostomidae",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artibeus_anthonyi","Chiroptera","Phyllostomidae",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cubaæ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artibeus_jamaicensis","Chiroptera","Phyllostomidae",0,0,NA,NA,NA,NA,NA,NA,"Providenciales",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Great Inagua","Little Inagua",NA,NA,NA,"Mayaguana",NA,NA,"Cayman Brac","Little Cayman",NA,NA,NA,NA,NA,NA,NA,"Cuba","Isle of Pines",NA,NA,"Grand Cayman","Hispaniola","Ile de la Gonave",NA,"Jamaica",NA,NA,"Anegada","Culebra","Guana",NA,"Puerto Rico","St. John","St. Thomas","Tortola","Vieques","Virgin Gorda","St. Croix","Anguilla","St. Barthelemy","St. Eustatius","St. Martin",NA,"Antigua","Barbuda","Barbados","Dominica","Bequia","Carriacou","Grenada","Mustique","Union","Guadeloupe","La Desirade","Marie Galante","Martinique","Montserrat","Saba",NA,NA,"Nevis","St. Kitts",NA,"Providencia","San Andres"
